INSTANCE_NAME v25_a40_r0_b4
NB_VERTICES 25
NB_ARCS 40
NB_REQUESTS 0
NB_BLOCKAGES 4

VERTICES
1 0 2
2 0 3
3 0 4
4 0 5
5 0 6
6 1 2
7 1 3
8 1 4
9 1 5
10 1 6
11 2 2
12 2 3
13 2 4
14 2 5
15 2 6
16 3 2
17 3 3
18 3 4
19 3 5
20 3 6
21 4 2
22 4 3
23 4 4
24 4 5
25 4 6

ARCS
2 1 1
3 2 1
4 3 1
5 4 1
6 7 1
7 8 1
8 9 1
9 10 1
12 11 1
13 12 1
14 13 1
15 14 1
17 16 1
18 17 1
19 18 1
20 19 1
21 22 1
22 23 1
23 24 1
24 25 1
1 6 1
2 7 1
8 3 1
9 4 1
10 5 1
11 6 1
7 12 1
13 8 1
14 9 1
15 10 1
16 11 1
12 17 1
18 13 1
19 14 1
20 15 1
16 21 1
17 22 1
18 23 1
19 24 1
25 20 1

REQUESTS

BLOCKAGES
20 15
12 11
18 13
7 12

END
