INSTANCE_NAME v36_a60_r0_b1.dat
NB_VERTICES 36
NB_ARCS 60
NB_REQUESTS 0
NB_BLOCKAGES 1

VERTICES
1 0 3
2 0 4
3 0 5
4 0 6
5 0 7
6 0 8
7 1 3
8 1 4
9 1 5
10 1 6
11 1 7
12 1 8
13 2 3
14 2 4
15 2 5
16 2 6
17 2 7
18 2 8
19 3 3
20 3 4
21 3 5
22 3 6
23 3 7
24 3 8
25 4 3
26 4 4
27 4 5
28 4 6
29 4 7
30 4 8
31 5 3
32 5 4
33 5 5
34 5 6
35 5 7
36 5 8

ARCS
2 1 1
3 2 1
4 3 1
5 4 1
6 5 1
7 8 1
8 9 1
9 10 1
10 11 1
11 12 1
14 13 1
15 14 1
16 15 1
17 16 1
18 17 1
19 20 1
20 21 1
21 22 1
22 23 1
23 24 1
26 25 1
27 26 1
28 27 1
29 28 1
30 29 1
31 32 1
32 33 1
33 34 1
34 35 1
35 36 1
1 7 1
2 8 1
9 3 1
10 4 1
11 5 1
12 6 1
13 7 1
8 14 1
15 9 1
16 10 1
17 11 1
12 18 1
19 13 1
14 20 1
21 15 1
22 16 1
23 17 1
24 18 1
25 19 1
20 26 1
27 21 1
28 22 1
29 23 1
30 24 1
25 31 1
26 32 1
27 33 1
28 34 1
29 35 1
36 30 1

REQUESTS

BLOCKAGES
26 25

END
